FromID,ToID,Relation_value,Relation_type,Relation_Context_CellType,Relation_Context_DiffDay,FromType,ToType
1661,2343,0.3293285853,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2325,2343,0.3272054357,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2407,2343,-0.325066838,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2408,2343,-0.320774596,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2409,2343,0.320774596,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2091,2343,-0.3164976014,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2347,2343,0.3164976014,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
1679,2343,-0.3164976014,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
1804,2343,-0.3122206068,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
632,2343,-0.3122206068,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2410,2343,-0.3122206068,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
1598,2343,-0.3122206068,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
865,2343,-0.3122206068,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2411,2343,0.3079436122,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2412,2343,0.3079436122,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
731,2343,-0.3079436122,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2413,2343,-0.310111202,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2414,2343,-0.3079436122,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2415,2343,-0.3079436122,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
1602,2343,0.3079436122,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
30,2343,0.3036666176,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
1660,2343,0.299389623,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2416,2343,0.2994036666,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2417,2343,-0.2951126284,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
18,2343,-0.2908356337,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
222,2343,-0.2908356337,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
881,2343,-0.2887106785,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
