FromID,ToID,Relation_value,Relation_type
6676,7298,0.0292,VEP
6676,7298,0.0514,VEP
6676,7298,0.0414,VEP
6659,6660,0.0159,VEP
6659,6660,0.015,VEP
6570,6571,0.0369,VEP
6570,6571,0.0247,VEP
6570,6571,0.0309,VEP
6570,6571,0.0255,VEP
6570,6571,0.0315,VEP
6740,6741,0.0323,VEP
6740,6741,0.0178,VEP
6676,7299,0.0441,VEP
6676,7299,0.0379,VEP
6570,6646,0.0327,VEP
6588,6647,0.0313,VEP
6676,7299,0.0302,VEP
4953,6593,0.0595,VEP
4953,6593,0.0392,VEP
4953,6593,0.0579,VEP
4953,6593,0.0376,VEP
7300,7301,1.0615711,VEP
7302,7303,1.1778563,VEP
683,6851,0.062,VEP
7306,7307,1.19,VEP
7308,7307,1.19,VEP
7309,7307,1.19,VEP
7310,7307,1.19,VEP
7311,7307,1.19,VEP
7312,7307,1.19,VEP
7254,7307,1.19,VEP
7313,7307,1.19,VEP
7314,7307,1.19,VEP
7315,7307,1.19,VEP
7316,7307,1.19,VEP
289,7307,1.19,VEP
7317,7307,1.19,VEP
7318,7307,1.19,VEP
7319,7307,1.19,VEP
7320,7307,1.19,VEP
7321,7307,1.19,VEP
7322,7307,1.19,VEP
7323,7324,0.15,VEP
1378,7325,0.22,VEP
6767,7326,0.15,VEP
7327,7326,0.15,VEP
7328,7326,0.15,VEP
7329,7326,0.15,VEP
7330,7326,0.15,VEP
7331,7326,0.15,VEP
7332,7326,0.15,VEP
7333,7326,0.15,VEP
7334,7326,0.15,VEP
7335,7326,0.15,VEP
7336,7337,0.13,VEP
2235,7338,0.26,VEP
7149,7340,1.33,VEP
6704,7341,1.24,VEP
7053,7342,1.22,VEP
6823,7343,1.33,VEP
6640,7344,0.39,VEP
6957,7345,0.07,VEP
7106,7345,0.07,VEP
2426,7346,0.07,VEP
6698,7347,0.06,VEP
6795,7352,0.25,VEP
6984,7352,0.25,VEP
6860,7353,3.14,VEP
7354,7353,3.14,VEP
6889,7353,3.14,VEP
7355,7356,2.03,VEP
7357,7358,1.9607843,VEP
7359,7358,1.9607843,VEP
7360,7361,1.435,VEP
6692,6913,1.74,VEP
7365,7366,1.28,VEP
7367,7368,1.45,VEP
7369,7370,2.276,VEP
6821,7371,1.638,VEP
6745,7373,0.0919,VEP
6747,7373,0.0919,VEP
7374,7375,0.1338,VEP
6745,7376,4.55,VEP
6748,7376,4.55,VEP
7377,7378,1.103,VEP
7379,7378,1.103,VEP
6799,7380,1.21,VEP
4085,7381,1.24,VEP
6640,7382,0.0958,VEP
7383,7245,0.05,VEP
6698,7384,0.05,VEP
6590,7213,5.26,VEP
1156,6790,3.09,VEP
6852,6790,3.09,VEP
683,6790,3.09,VEP
7385,6790,3.09,VEP
7165,7386,1.4706,VEP
7165,7387,1.3514,VEP
7388,7387,1.3514,VEP
6756,6757,0.141,VEP
7200,7389,0.088,VEP
7200,7390,0.08,VEP
590,7391,0.052,VEP
7392,7393,1.46,VEP
7394,7395,1.41,VEP
7396,7397,1.15,VEP
6698,7398,1.38,VEP
7400,7401,1.43,VEP
7402,7403,1.41,VEP
7404,7405,1.22,VEP
6815,7406,1.36,VEP
7407,7408,1.19,VEP
7409,7410,1.1943,VEP
3280,7411,0.204,VEP
7412,7411,0.204,VEP
7413,7411,0.204,VEP
6950,7027,24.63,VEP
6706,7418,2.37,VEP
6713,6714,1.95,VEP
6698,7425,1.2,VEP
6504,7426,1.5,VEP
7333,7426,1.5,VEP
6795,7427,1.42,VEP
6737,7427,1.42,VEP
6747,7427,1.42,VEP
7147,7428,0.01,VEP
7429,7430,0.01,VEP
7431,7432,0.007,VEP
7441,7442,1.12,VEP
7443,7442,1.12,VEP
7444,7445,0.14,VEP
7446,7445,0.14,VEP
7444,7445,0.15,VEP
7446,7445,0.15,VEP
7446,7445,0.2,VEP
7444,7445,0.2,VEP
7444,7445,0.22,VEP
7446,7445,0.22,VEP
7447,7448,0.058,VEP
6622,7449,0.057,VEP
7447,7448,0.065,VEP
6622,7449,0.063,VEP
6622,7450,0.044,VEP
7451,7452,3.0069,VEP
7010,7291,1.3,VEP
6761,7453,1.3514,VEP
7454,7455,1.07,VEP
6745,7456,1.73,VEP
7457,7458,1.24,VEP
6817,7458,1.24,VEP
6707,7459,2.71,VEP
6576,7460,1.56,VEP
7461,7462,1.2821,VEP
6821,7463,1.86,VEP
7464,7465,3.14,VEP
7466,7465,3.14,VEP
6590,7467,0.36,VEP
6869,7468,1.192,VEP
7281,7468,1.192,VEP
7123,7468,1.192,VEP
4633,7468,1.192,VEP
7469,7468,1.192,VEP
7470,7471,2.9,VEP
7441,7472,0.026,VEP
6622,7473,0.022,VEP
6622,7474,0.022,VEP
6622,7475,0.023,VEP
7476,7477,0.021,VEP
7478,7477,0.021,VEP
6596,7477,0.021,VEP
7479,7477,0.021,VEP
7480,7477,0.021,VEP
7481,7477,0.021,VEP
7482,7477,0.021,VEP
7483,7477,0.021,VEP
7484,7477,0.021,VEP
7485,7477,0.021,VEP
7486,7477,0.021,VEP
6622,7487,0.029,VEP
7055,7488,2.03,VEP
6672,7489,16.8,VEP
6672,7490,17.4,VEP
6772,7490,17.4,VEP
6672,7491,9.0,VEP
6692,7492,1.4,VEP
6984,7493,1.7,VEP
6672,7494,1.36,VEP
6672,7494,1.4,VEP
7495,7496,0.61,VEP
6952,7496,0.61,VEP
6688,7497,1.086,VEP
6688,7497,1.099,VEP
7498,7499,1.681,VEP
6626,7499,1.681,VEP
7500,7501,1.62,VEP
6776,7501,1.62,VEP
7502,7503,1.363,VEP
6622,7506,1.205,VEP
7507,7508,0.008,VEP
7509,7510,0.158,VEP
7511,7512,1.178,VEP
6747,6868,2.9,VEP
6651,7513,0.19,VEP
7516,7517,1.38,VEP
354,7518,1.67,VEP
7516,7519,1.27,VEP
6957,7520,0.0103,VEP
7106,7520,0.0103,VEP
6957,7521,0.0088,VEP
7106,7521,0.0088,VEP
1000,7522,0.356,VEP
683,6793,9.99,VEP
7523,7524,0.16,VEP
7451,7525,2.39,VEP
7414,7525,2.39,VEP
5253,7526,0.053,VEP
6957,7529,0.23,VEP
7106,7529,0.23,VEP
7530,7529,0.23,VEP
6817,7531,1.11,VEP
6776,7532,1.17,VEP
6776,7532,1.28,VEP
6817,7531,1.1,VEP
6823,7533,1.12,VEP
7538,7539,2.14,VEP
7032,7539,2.14,VEP
6640,7540,2.3,VEP
6640,7540,1.92,VEP
7538,7539,1.87,VEP
7032,7539,1.87,VEP
6776,7532,1.13,VEP
7541,7542,1.09,VEP
6765,7543,1.1,VEP
7544,7545,1.24,VEP
7544,7545,1.33,VEP
7541,7542,1.11,VEP
6966,7546,1.33,VEP
6968,7546,1.33,VEP
7547,7546,1.33,VEP
683,7548,6.57,VEP
6902,7550,2.15,VEP
6747,7551,2.02,VEP
6745,7551,2.02,VEP
7552,7553,1.4,VEP
7554,7553,1.4,VEP
7555,7553,1.4,VEP
7556,7553,1.4,VEP
7557,7553,1.4,VEP
6707,7558,1.33,VEP
6938,7558,1.33,VEP
6707,7559,1.22,VEP
6938,7559,1.22,VEP
6748,7560,1.24,VEP
7461,7561,1.17,VEP
7360,7562,1.35,VEP
6622,7563,1.18,VEP
7564,7565,4.5455,VEP
7566,7567,11.1111,VEP
154,7568,1.067,VEP
6753,7569,1.077,VEP
7570,7571,1.073,VEP
7572,7571,1.073,VEP
7573,7571,1.073,VEP
7574,7571,1.073,VEP
7575,7571,1.073,VEP
7576,7571,1.073,VEP
7577,7571,1.073,VEP
6684,7571,1.073,VEP
7210,7571,1.073,VEP
829,7571,1.073,VEP
7578,7571,1.073,VEP
7454,7571,1.073,VEP
2418,7571,1.073,VEP
7212,7571,1.073,VEP
7579,7571,1.073,VEP
7580,7571,1.073,VEP
6758,7581,1.0869565,VEP
7582,7581,1.0869565,VEP
7583,7584,1.081,VEP
7585,7584,1.081,VEP
7586,7584,1.081,VEP
7587,7584,1.081,VEP
7588,7584,1.081,VEP
7589,7584,1.081,VEP
7590,7584,1.081,VEP
7591,7584,1.081,VEP
7592,7584,1.081,VEP
7593,7584,1.081,VEP
7594,7584,1.081,VEP
7595,7584,1.081,VEP
7596,7584,1.081,VEP
7597,7584,1.081,VEP
7598,7584,1.081,VEP
7599,7584,1.081,VEP
7600,7584,1.081,VEP
7601,7584,1.081,VEP
7602,7584,1.081,VEP
1361,7584,1.081,VEP
7603,7584,1.081,VEP
1452,7584,1.081,VEP
7604,7584,1.081,VEP
7605,7584,1.081,VEP
7606,7584,1.081,VEP
7607,7584,1.081,VEP
7394,6894,1.3,VEP
6704,6894,1.3,VEP
6184,7608,1.32,VEP
154,7609,1.21,VEP
7610,7611,1.25,VEP
7612,7611,1.25,VEP
6622,7613,0.158,VEP
6622,7614,0.079,VEP
6622,7615,0.089,VEP
6832,7616,0.099,VEP
6622,7617,0.087,VEP
6622,7613,0.079,VEP
6590,7618,0.16,VEP
6590,7618,0.12,VEP
6590,7618,0.13,VEP
6640,7619,18.365,VEP
6640,7304,1.724,VEP
7620,7621,1.44,VEP
7231,7622,1.11,VEP
